"State.Code","County.Code","Latitude","Longitude","Datum","Sample.Duration","Metric.Used","Units.of.Measure","Observation.Count","Observation.Percent","Arithmetic.Mean","Arithmetic.Standard.Dev","X50th.Percentile","GEOID","total_population","total_no_vehicle","total_carpool_vehicle","total_private_vehicle","total_public_transit","ppt","tmax","tmin","tmean"
"06","073",32.845709,-117.123964,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7822,89,17.242857,8.656176,16,"06073",3316073,34924,140439,1240027,48043,446.402893066406,22.2274990081787,12.652099609375,17.4396991729736
"06","073",32.985428,-117.082198,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7600,87,24.417391,9.504267,22,"06073",3316073,34924,140439,1240027,48043,587.402893066406,22.8848991394043,11.7417001724243,17.3131999969482
"06","073",32.789565,-116.944308,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7374,84,15.214286,9.110363,13,"06073",3316073,34924,140439,1240027,48043,534.924011230469,24.213399887085,11.7035999298096,17.9583988189697
"06","073",32.710177,-117.142665,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",3291,38,24.337838,11.829028,23,"06073",3316073,34924,140439,1240027,48043,424.435974121094,21.2300987243652,13.579400062561,17.4046001434326
"06","075",37.765946,-122.399044,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8245,94,19.571309,12.059058,17.7,"06075",874961,108715,35546,164457,178167,758.411010742188,18.5536994934082,11.2972993850708,14.9253997802734
"06","077",37.950741,-121.268523,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8238,94,24.020904,12.419055,21.9,"06077",742603,5797,39088,238729,5055,474.722900390625,24.1872997283936,9.43459987640381,16.8108997344971
"06","077",37.682635,-121.442495,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7959,91,12.130259,7.01176,10.9,"06077",742603,5797,39088,238729,5055,295.100982666016,23.3055000305176,10.5459995269775,16.9256000518799
"06","079",35.03146,-120.50103,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8247,94,5.880223,4.516218,4,"06079",282165,2512,14146,95359,1752,611.471008300781,20.3325996398926,9.2529993057251,14.7925996780396
"06","079",35.49453,-120.66617,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8366,96,10.336986,6.302701,9,"06079",282165,2512,14146,95359,1752,780.463989257812,22.4834003448486,6.23989963531494,14.361499786377
"06","081",37.482934,-122.20337,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8296,95,19.505525,10.203724,18.7,"06081",767423,9897,41313,275349,44722,529.887878417969,20.6784992218018,10.0844993591309,15.3813991546631
"06","083",34.46245,-120.02551,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",2061,24,6.411111,2.921807,6,"06083",444829,5188,29729,142415,6277,751.512878417969,19.1383991241455,10.7407999038696,14.9393997192383
"06","083",34.942872,-120.435611,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8205,94,12.428732,6.612684,10.8,"06083",444829,5188,29729,142415,6277,491.729888916016,20.9986991882324,9.15329933166504,15.0757999420166
"06","083",34.725352,-120.428717,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",1265,92,1,0.96225,1,"06083",444829,5188,29729,142415,6277,597.341979980469,20.6735992431641,8.80700016021729,14.7402000427246
"06","083",34.725352,-120.428717,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8040,92,0.636364,1.050647,0,"06083",444829,5188,29729,142415,6277,597.341979980469,20.6735992431641,8.80700016021729,14.7402000427246
"06","083",34.725352,-120.428717,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",1265,92,1,0.96225,1,"06083",444829,5188,29729,142415,6277,597.341979980469,20.6735992431641,8.80700016021729,14.7402000427246
"06","083",34.54166,-119.79146,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",1264,84,1.678571,2.045902,1,"06083",444829,5188,29729,142415,6277,927.976989746094,23.6649990081787,9.1136999130249,16.3892002105713
